Colocação,Pontos,Nome,Clube,URL detalhes,Rating,Categoria
11,2503,MAIRA RANZEIRO,ASSOCIAÇÃO TIMBOENSE - SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=240&Colocacao=11&Pontos=2503,A,F
12,2498,GIULIA TAKAHASHI,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=30534&Colocacao=12&Pontos=2498,A,F
13,2480,TAMYRES FUKASE,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=32599&Colocacao=13&Pontos=2480,A,F
14,2393,PRISCILA SALVADOR,ASSOCIAÇÃO RIO DO SUL - SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=18485&Colocacao=14&Pontos=2393,A,F
14,2393,MARINA MICHELIN,ASSOCIAÇÃO CHAPECOENSE - SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=18920&Colocacao=14&Pontos=2393,A,F
16,2387,LAURA WATANABE,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=30526&Colocacao=16&Pontos=2387,A,F
17,2359,KÁTIA KAWAI,ASSOCIAÇÃO NIKKEY SÃO JOSÉ DOS CAMPOS - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=442&Colocacao=17&Pontos=2359,A,F
18,2341,EDIANE BRESCIANI,CLUBE DE CAMPO DE PIRACICABA-CCP-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=29565&Colocacao=18&Pontos=2341,A,F
19,2315,MARTINA KOHATSU,ADC ESTRELA / JOOLA / SANTOS FC / FUPES - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=23147&Colocacao=19&Pontos=2315,A,F
20,2305,LIA OHIRA,SÃO BERNARDO / ASA / PALMEIRAS - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=17810&Colocacao=20&Pontos=2305,A,F
21,2268,LUANA SOUZA,ASSOC. NOVA ERA DE T.M.-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=24831&Colocacao=21&Pontos=2268,A,F
22,2248,BARBARA MARROQUE,ASSOC. DOS MESATENISTAS DE CASCÁVEL-PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=28575&Colocacao=22&Pontos=2248,A,F
23,2203,KARIN SAKO,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=27&Colocacao=23&Pontos=2203,A,F
24,2193,SARA SANTOS,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=412&Colocacao=24&Pontos=2193,A,F
25,2166,ESTHER NOVALO,ITAIM KEIKO / JJYAMADA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=544&Colocacao=25&Pontos=2166,A,F
26,2160,MAIZA MOTA,CR SALDANHA DA GAMA/JOOLA/ADC ESTRELA/STA CECÍLIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=23606&Colocacao=26&Pontos=2160,A,F
27,2096,JOYCE OLIVEIRA,AACD SÃO PAULO - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=21145&Colocacao=27&Pontos=2096,A,F
28,2084,LETICIA ARAUJO,SR MAMPITUBA/FME CRICIÚMA-SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=28608&Colocacao=28&Pontos=2084,A,F
29,2039,AMANDA MARQUES,ASSOCIAÇÃO ESPORTIVA MANAUS/ITAIM KEIKO-AM,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=1264&Colocacao=29&Pontos=2039,A,F
30,2024,LIVIA LIMA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=28526&Colocacao=30&Pontos=2024,A,F
31,2020,LHAYS STOLARSKI,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=36619&Colocacao=31&Pontos=2020,A,F
32,2002,THAINA RIBEIRO,SÃO BERNARDO / ASA / PALMEIRAS - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=21463&Colocacao=32&Pontos=2002,A,F
33,1998,LIVIA GOMES,ASSOCIAÇÃO ANAPOLINA DE TÊNIS DE MESA - GO,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=438&Colocacao=33&Pontos=1998,A,F
34,1982,THAYNÁ ALMEIDA,SÃO BERNARDO / ASA / PALMEIRAS - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=20795&Colocacao=34&Pontos=1982,A,F
35,1970,BEATRIZ KANASHIRO,ITAIM KEIKO / JJYAMADA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=36976&Colocacao=35&Pontos=1970,A,F
36,1962,THAIS FIGUEIREDO,ASSOCIAÇÃO NIKKEY SÃO JOSÉ DOS CAMPOS - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=306&Colocacao=36&Pontos=1962,A,F
37,1957,NATÁLIA MUNHOZ,CLUBE ITUANO DE ESPORTES-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=33295&Colocacao=37&Pontos=1957,A,F
38,1947,GIOVANNA GRILO,CR SALDANHA DA GAMA/JOOLA/ADC ESTRELA/STA CECÍLIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=46878&Colocacao=38&Pontos=1947,A,F
38,1947,FERNANDA KODAMA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=24854&Colocacao=38&Pontos=1947,A,F
40,1941,JESSICA PRATES,ASSOCIAÇÃO GOIANA DE TÊNIS DE MESA-AGTM-GO,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=18752&Colocacao=40&Pontos=1941,A,F
41,1925,VITÓRIA UCIMA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=33626&Colocacao=41&Pontos=1925,A,F
42,1922,GABRIELLA KODAMA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=24853&Colocacao=42&Pontos=1922,A,F
43,1915,ISABELA CASSEMIRO,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=23579&Colocacao=43&Pontos=1915,A,F
44,1912,DANIELA YANO,SOGIPA PORTO ALEGRE - RS,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=20469&Colocacao=44&Pontos=1912,A,F
45,1909,LÍVIA MIZOBUCHI,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=292&Colocacao=45&Pontos=1909,A,F
46,1896,LUCIANA MORIMOTO,NIPO CAMPO MOURÃO - PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=1415&Colocacao=46&Pontos=1896,A,F
47,1885,LEONTINA SCOZ,ASSOCIAÇÃO DE TENIS DE MESA DE POUSO REDONDO-SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=30700&Colocacao=47&Pontos=1885,A,F
48,1855,BEATRIZ KIMOTO,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=30527&Colocacao=48&Pontos=1855,A,F
49,1850,LARISSA KUROTAKI,ASSOCIAÇAO DOS MESATENISTAS DE TAUBATÉ - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=22911&Colocacao=49&Pontos=1850,A,F
1,1845,SUELEN RAMOS,CLUBE PALESTRA ITÁLIA - RIBEIRÃO PRETO - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=19334&Colocacao=1&Pontos=1845,B,F
2,1841,KARINA HAYAMA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=17507&Colocacao=2&Pontos=1841,B,F
3,1839,WANESSA SU WU,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=32616&Colocacao=3&Pontos=1839,B,F
4,1835,NATALY FERNANDA,AITM/CVA/ITAPETININGA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=24265&Colocacao=4&Pontos=1835,B,F
5,1819,JESSICA ISERI,ASSOC.DESP. MATOSTT DE TM/COL. DELTA/CLUBE COMERCIAL DE LORENA-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=20300&Colocacao=5&Pontos=1819,B,F
6,1818,JULIANA LINDMAN,JUNDIAÍ CLUBE-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=19124&Colocacao=6&Pontos=1818,B,F
6,1818,KARIN FUKUSHIMA,ITAIM KEIKO / JJYAMADA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=1717&Colocacao=6&Pontos=1818,B,F
8,1810,SONIA OLIVEIRA,ADFP/CLUBE DUQUE DE CAXIAS-CURITIBA-PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=20832&Colocacao=8&Pontos=1810,B,F
9,1774,MONICA DOTI,INTERCOLONIAL,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=10397&Colocacao=9&Pontos=1774,B,F
10,1772,THAIS SEVERO,ASSOCIAÇÃO DOS DEFICIENTES FÍSICOS DE GOIÁS-ADFEGO-GO,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=28459&Colocacao=10&Pontos=1772,B,F
11,1754,HELOISI CABRAL,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=25879&Colocacao=11&Pontos=1754,B,F
12,1753,MARIANY NONAKA,ASSOCIAÇÃO CHAPECOENSE - SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=501&Colocacao=12&Pontos=1753,B,F
13,1746,MAYARA NEVES,FUNDAÇÃO MUNICIPAL DE ESPORTES DE CONCÓRDIA-SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=27674&Colocacao=13&Pontos=1746,B,F
14,1745,KIM INOKUCHI,SANTO ANDRÉ / ADSA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=145&Colocacao=14&Pontos=1745,B,F
15,1740,BARBARA PERRONE,CLUBE DE CAMPO DE PIRACICABA-CCP-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=18667&Colocacao=15&Pontos=1740,B,F
16,1739,AMY SEKIMOTO,SANTO ANDRÉ / ADSA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=32935&Colocacao=16&Pontos=1739,B,F
17,1721,ALESSANDRA SILVA,SR MAMPITUBA/FME CRICIÚMA-SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=16430&Colocacao=17&Pontos=1721,B,F
18,1712,VALESCA MARANHÃO,CLUBE CAÇA E TIRO 1O. DE JULHO-SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=16931&Colocacao=18&Pontos=1712,B,F
19,1709,GIOVANA SHIOZAKI,CLUBE ITUANO DE ESPORTES-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=41463&Colocacao=19&Pontos=1709,B,F
20,1686,LUCIANA COUTINHO,AABB BRASÍLIA/RIZZONE - DF,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=1005&Colocacao=20&Pontos=1686,B,F
21,1684,TAINÁ SILVA,ASSOC. SÃO BENTO DO SUL DE T.M.-SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=18842&Colocacao=21&Pontos=1684,B,F
22,1683,FABIANA SHINTATE,KOSMOS CLUBE - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=34491&Colocacao=22&Pontos=1683,B,F
23,1657,ANA BONSERE,YARA TOLEDO - PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=29380&Colocacao=23&Pontos=1657,B,F
24,1652,EUGENIA FERREIRA,FUNDAÇÃO MUNICIPAL DE ESPORTES DE CONCÓRDIA-SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=14328&Colocacao=24&Pontos=1652,B,F
25,1647,MARIA PASSOS,ADFP/CLUBE DUQUE DE CAXIAS-CURITIBA-PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=20768&Colocacao=25&Pontos=1647,B,F
26,1646,GENIFER ZHAO,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=23076&Colocacao=26&Pontos=1646,B,F
27,1625,CLAUDIA IKEIZUMI,ADC ESTRELA / JOOLA / SANTOS FC / FUPES - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=932&Colocacao=27&Pontos=1625,B,F
28,1620,GESSICA LOPES,NETO TT BAL. CAMBORIU SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=23504&Colocacao=28&Pontos=1620,B,F
28,1620,SOFIA CALDERANO,FLUMINENSE FOOTBALL CLUB - RJ,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=21607&Colocacao=28&Pontos=1620,B,F
30,1615,KELLY NAGAOKA,GRESFI LADÁRIO-PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=100&Colocacao=30&Pontos=1615,B,F
31,1614,LIZIE RODRIGUES,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=548&Colocacao=31&Pontos=1614,B,F
31,1614,JENNYFER PARINOS,FRANTT-TIBHAR/CAFÉ MORRO GRANDE/SELAM/PIRACICABA-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=23061&Colocacao=31&Pontos=1614,B,F
33,1611,CAROLINE KAGOHARA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=20358&Colocacao=33&Pontos=1611,B,F
34,1606,MILLENA SANTOS,ASSOCIAÇÃO DOS DEFICIENTES FÍSICOS DE GOIÁS-ADFEGO-GO,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RBF&Associado=33389&Colocacao=34&Pontos=1606,B,F
1,1592,PRISCILA NASCIMENTO,FRANTT-TIBHAR/CAFÉ MORRO GRANDE/SELAM/PIRACICABA-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=16844&Colocacao=1&Pontos=1592,C,F
2,1587,MARLIANE SANTOS,APMDFESP - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=34411&Colocacao=2&Pontos=1587,C,F
3,1582,NATHALIA BARREIRA,CLUBE DE CAMPO DE PIRACICABA-CCP-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=132&Colocacao=3&Pontos=1582,C,F
4,1579,MARIA FERNANDES,ASSOC. NOVA ERA DE T.M.-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=52713&Colocacao=4&Pontos=1579,C,F
5,1564,CATIA OLIVEIRA,ASSOC. NOVA ERA DE T.M.-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=31841&Colocacao=5&Pontos=1564,C,F
6,1561,THAIS HASEGAVA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=421&Colocacao=6&Pontos=1561,C,F
7,1553,RANIFER MEURER,ASSOCIAÇÃO RIO DO SUL - SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=31167&Colocacao=7&Pontos=1553,C,F
8,1550,BRUNNA ROSA,ITAIM KEIKO / JJYAMADA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=52908&Colocacao=8&Pontos=1550,C,F
9,1546,GABRIELA KOCK,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=429&Colocacao=9&Pontos=1546,C,F
10,1544,GERUSA MANHANI,SR MAMPITUBA/FME CRICIÚMA-SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=1693&Colocacao=10&Pontos=1544,C,F
11,1541,PATRICIA RABONI,AMERICANA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=178&Colocacao=11&Pontos=1541,C,F
12,1530,MAITÊ SANMARTIN,KOSMOS CLUBE - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=28502&Colocacao=12&Pontos=1530,C,F
13,1527,HAYLLE LEITE,ASSOC. NOVA ERA DE T.M.-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=29040&Colocacao=13&Pontos=1527,C,F
13,1527,CAMILA KATSUNO,BOCHÓFILO SANTO ANDRÉ,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=409&Colocacao=13&Pontos=1527,C,F
15,1526,LAÍS HAYASHI,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=16645&Colocacao=15&Pontos=1526,C,F
16,1525,LAIS HASEGAVA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=423&Colocacao=16&Pontos=1525,C,F
17,1524,SHEILA SOUSA,ASSOCIAÇÃO GOIANA DE TÊNIS DE MESA-AGTM-GO,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=3960&Colocacao=17&Pontos=1524,C,F
17,1524,KATHERINE FERREIRA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=43522&Colocacao=17&Pontos=1524,C,F
19,1519,JULIANE KAGOHARA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=20428&Colocacao=19&Pontos=1519,C,F
20,1517,NATHÁLIA MELLO,JUNDIAÍ CLUBE-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=30531&Colocacao=20&Pontos=1517,C,F
21,1515,LAIS TOMA,ATEMEL/ACEL LONDRINA - PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=8963&Colocacao=21&Pontos=1515,C,F
22,1508,LAIS YUTA,ACEAS NIKKEI SUZANO - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=36083&Colocacao=22&Pontos=1508,C,F
23,1504,JULLY NAGAO,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=23681&Colocacao=23&Pontos=1504,C,F
24,1501,JULIA DE SOUSA,ASSOC. NOVA ERA DE T.M.-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=40780&Colocacao=24&Pontos=1501,C,F
25,1480,TATHIANE PIMENTEL,CR SALDANHA DA GAMA/JOOLA/ADC ESTRELA/STA CECÍLIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=20773&Colocacao=25&Pontos=1480,C,F
26,1477,MAIRA AGATA,INTERCOLONIAL,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=949&Colocacao=26&Pontos=1477,C,F
27,1473,TAINARA TANAKA,NIPO IVOTI - RS,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=32811&Colocacao=27&Pontos=1473,C,F
28,1470,MELISSA ARAKAKI,ITAIM KEIKO / JJYAMADA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=53071&Colocacao=28&Pontos=1470,C,F
29,1469,AILY MURASHIGE,INTERCOLONIAL,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=12281&Colocacao=29&Pontos=1469,C,F
30,1456,LUCIANA KOCK,JUNDIAÍ CLUBE-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=28&Colocacao=30&Pontos=1456,C,F
31,1447,JANAINA COSTA,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=677&Colocacao=31&Pontos=1447,C,F
32,1446,LAURA RAMALHO,CLUBE ITUANO DE ESPORTES-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=425&Colocacao=32&Pontos=1446,C,F
33,1441,DANIELLE CRUZ,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=66&Colocacao=33&Pontos=1441,C,F
34,1435,KATIA ABE,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=16646&Colocacao=34&Pontos=1435,C,F
35,1433,DANIELLI COELHO,ASSOC.DESP. MATOSTT DE TM/COL. DELTA/CLUBE COMERCIAL DE LORENA-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=23412&Colocacao=35&Pontos=1433,C,F
36,1431,THAÍS TANAKA,NIPO IVOTI - RS,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=36061&Colocacao=36&Pontos=1431,C,F
37,1430,ISABELA LIMA,SR MAMPITUBA/FME CRICIÚMA-SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=28675&Colocacao=37&Pontos=1430,C,F
38,1422,MAYARA SANTOS,ASMUC - CARAGUATATUBA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=22485&Colocacao=38&Pontos=1422,C,F
39,1421,PAMELA RIBEIRO,JARAGUÁ TÊNIS CLUBE - AL,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=1488&Colocacao=39&Pontos=1421,C,F
40,1417,CAROLINA NAGANO,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RCF&Associado=17968&Colocacao=40&Pontos=1417,C,F
